year,month,avg_pm25,avg_speed,avg_waste,total_complaints,date
2024,1,67.16666666666667,19.4176,1033.9880952380952,16780.0,2024-01-01
2024,2,73.72413793103448,22.5496,1641.2754761904764,14467.0,2024-02-01
2024,3,67.80645161290323,23.514,830.7495238095237,15308.0,2024-03-01
2024,4,80.56666666666666,25.6812,866.2183333333332,13159.0,2024-04-01
2024,5,98.06451612903226,26.148000000000003,1007.8533333333336,16918.0,2024-05-01
2024,6,96.33333333333331,26.8788,910.725238095238,13731.0,2024-06-01
2024,7,91.25806451612904,26.9164,924.6342857142856,15396.0,2024-07-01
2024,8,101.6774193548387,27.1928,894.4678571428572,12713.0,2024-08-01
2024,9,88.53333333333333,27.2232,923.5611904761904,12234.0,2024-09-01
2024,10,91.4516129032258,27.3376,911.7335714285714,14693.0,2024-10-01
2024,11,80.56666666666666,27.4456,1037.690476190476,14111.0,2024-11-01
2024,12,55.935483870967744,27.608400000000003,919.3890476190476,13753.0,2024-12-01
2025,1,59.32258064516129,28.2328,940.9914285714284,13629.0,2025-01-01
2025,2,70.46428571428571,26.0396,755.7595238095239,12929.0,2025-02-01
2025,3,70.46428571428571,26.3116,841.9509523809525,12988.0,2025-03-01
2025,4,70.46428571428571,15.6468,805.1835714285714,14612.0,2025-04-01
2025,5,70.46428571428571,25.67,816.3307142857143,16236.0,2025-05-01
2025,6,70.46428571428571,27.142,850.3616666666667,15329.0,2025-06-01
2025,7,70.46428571428571,31.2676,838.9769047619047,16927.0,2025-07-01
2025,8,70.46428571428571,27.9592,833.5940476190475,14045.0,2025-08-01
2025,9,70.46428571428571,27.9592,833.5940476190475,11652.0,2025-09-01
